|   ID    |        DATE         |  PROBLEM  |  RESULT   | TIME  |  MEM   | LNG |
| 10449137 | 2013-11-09 05:25:41 |   ACPC11C |        AC |  0.38 |   3208 | C++ |
| 10449128 | 2013-11-09 05:20:26 |   ACPC11C |       TLE | -1.00 |   5840 | PYT |
| 10449126 | 2013-11-09 05:18:57 |   ACPC11C |       TLE | -1.00 |   5840 | PYT |
| 10449087 | 2013-11-09 04:49:45 |   ACPC11B |        AC |  0.09 |   7696 | PYT |
| 10448889 | 2013-11-09 03:21:41 |      ABCD |        AC |  0.54 |   8000 | PYT |
| 10448876 | 2013-11-09 03:13:49 |      ABCD |        WA |  0.02 |   4048 | PYT |
| 10442638 | 2013-11-08 02:16:01 |   MANGOES |        WA |  0.03 |   6300 | HAS |
| 10442628 | 2013-11-08 02:14:21 |   MANGOES |        AC |  0.23 |   6304 | HAS |
| 10423971 | 2013-11-05 14:14:31 |     EALP1 |        AC |  0.11 |   2820 | C++ |
| 10423954 | 2013-11-05 14:12:01 |     EALP1 |       TLE | -1.00 |   2820 | C++ |
| 10413165 | 2013-11-04 04:09:11 |  SAMER08D |       TLE | -1.00 |  23976 | C++ |
| 10413122 | 2013-11-04 03:47:45 |  SAMER08D |       TLE | -1.00 |  24008 | C++ |
| 9811926 | 2013-08-10 08:42:58 |  TOANDFRO |        AC |  0.00 |   6288 | HAS |
| 9809770 | 2013-08-09 21:20:40 |       ONP |        AC |  0.04 |   3736 | HAS |
| 9363983 | 2013-05-28 10:10:31 |     FCTRL |        AC |  0.15 |   3736 | HAS |
| 9363971 | 2013-05-28 10:08:45 |     FCTRL |        AC |  0.38 |   3736 | HAS |
| 9363023 | 2013-05-28 07:08:09 |    ADDREV |        AC |  0.01 |   3740 | HAS |
| 7065868 | 2012-05-31 07:35:05 |      GAME |        RE |  3.23 |   2872 | C++ |
| 7055395 | 2012-05-29 08:23:13 |      NOSQ |        AC |  0.00 |   2916 | C++ |
| 7055368 | 2012-05-29 08:15:48 |      NOSQ |       TLE | -1.00 |   6804 | PYT |
| 7029173 | 2012-05-23 19:23:42 |    PEBBLE |        WA |  0.02 |   1684 |   C |
| 7029019 | 2012-05-23 18:53:29 |   BRODOVI |        RE |  0.00 |   1720 |   C |
| 7010134 | 2012-05-19 12:53:07 |   PAIRSUM |        AC |  0.11 |   4252 | C++ |
| 6725318 | 2012-03-26 02:51:15 |  PERMJUMP |        AC |  0.05 |   2752 | C++ |
| 6725317 | 2012-03-26 02:50:43 |  PERMJUMP |        WA |  0.44 |   2752 | C++ |
| 6725309 | 2012-03-26 02:49:23 |  PERMJUMP |        AC |  0.06 |   3164 | C++ |
| 6725275 | 2012-03-26 02:33:23 |    FNRANK |        AC |  0.05 |   3488 | C++ |
| 6725264 | 2012-03-26 02:32:11 |    FNRANK |        CE |  0.00 |      0 | C++ |
| 6725235 | 2012-03-26 02:22:21 |    FNRANK |        CE |  0.00 |      0 | C++ |
| 6725231 | 2012-03-26 02:20:43 |    FNRANK |        CE |  0.00 |      0 | C++ |
| 6725214 | 2012-03-26 02:15:01 |    FNRANK |        CE |  0.00 |      0 | C++ |
| 6725203 | 2012-03-26 02:09:20 |    FNRANK |       TLE | -1.00 |   3208 | C++ |
| 6718601 | 2012-03-24 21:49:38 |   FINDPRM |        AC |  0.10 |   6784 | C++ |
| 6718599 | 2012-03-24 21:49:03 |   FINDPRM |        WA |  0.98 |   6780 | C++ |
| 6718588 | 2012-03-24 21:47:08 |   FINDPRM |       TLE | -1.00 |  16544 | C++ |
| 6718578 | 2012-03-24 21:45:21 |   FINDPRM |       TLE | -1.00 |  16544 | C++ |
| 6718556 | 2012-03-24 21:43:33 |   FINDPRM |       TLE | -1.00 |  16544 | C++ |
| 6718518 | 2012-03-24 21:38:05 |   FINDPRM |        WA |  0.36 |   7760 | C++ |
| 6711081 | 2012-03-23 19:09:55 |  COUNTPAS |        AC |  0.00 |   6784 | C++ |
| 6710717 | 2012-03-23 17:57:56 |   COMFUNC |        AC |  0.73 |   5224 | C++ |
| 6710707 | 2012-03-23 17:54:58 |   COMFUNC |       TLE | -1.00 |   5224 | C++ |
| 6710659 | 2012-03-23 17:40:46 |   COMFUNC |        WA |  0.38 |   5224 | C++ |
| 6710632 | 2012-03-23 17:35:22 |   COMFUNC |        WA |  0.34 |   5224 | C++ |
| 6710623 | 2012-03-23 17:33:43 |   COMFUNC |        WA |  0.36 |   5224 | C++ |
| 6710520 | 2012-03-23 17:07:56 |   COMFUNC |        WA |  0.36 |   5224 | C++ |
| 6710459 | 2012-03-23 16:58:03 |   COMFUNC |       TLE | -1.00 |   5032 | C++ |
| 6707624 | 2012-03-23 09:01:06 |     GAME2 |        WA |  0.01 |   3860 | C++ |
| 6699110 | 2012-03-21 20:45:36 |    SUMMUL |        AC |  0.00 |   2688 | C++ |
| 6694260 | 2012-03-20 23:40:47 |   MAJSTOR |        WA |  0.03 |   3740 | PYT |
| 6694255 | 2012-03-20 23:39:16 |   MAJSTOR |        WA |  0.04 |   3740 | PYT |
| 6694253 | 2012-03-20 23:38:25 |   MAJSTOR |        CE |  0.00 |      0 | PYT |
| 6694250 | 2012-03-20 23:37:23 |   MAJSTOR |        CE |  0.00 |      0 | PYT |
| 6694239 | 2012-03-20 23:35:20 |   MAJSTOR |        CE |  0.00 |      0 | PYT |
| 6685157 | 2012-03-19 13:11:21 |  SPACESET |        AC |  0.00 |   2688 | C++ |
| 6685154 | 2012-03-19 13:10:56 |  SPACESET |        CE |  0.00 |      0 | C++ |
| 6685135 | 2012-03-19 13:08:08 |  SPACESET |        WA |  0.00 |   2688 | C++ |
| 6685107 | 2012-03-19 13:00:52 |  SPACESET |        WA |  0.00 |   2688 | C++ |
| 6684812 | 2012-03-19 12:30:56 |     JUICE |        AC |  0.18 |   2856 | C++ |
| 6684657 | 2012-03-19 12:18:40 |     JUICE |       TLE | -1.00 |   2708 | C++ |
| 6683956 | 2012-03-19 09:59:04 |     JUICE |        WA |  0.35 |   2708 | C++ |
| 6680901 | 2012-03-18 18:57:44 |    ADDMUL |        WA |  0.01 |   2824 | C++ |
| 6680415 | 2012-03-18 17:32:06 |    ADDMUL |        WA |  0.01 |   2824 | C++ |
| 6680187 | 2012-03-18 16:57:05 |    ADDMUL |        WA |  0.01 |   2824 | C++ |
| 6674569 | 2012-03-17 20:05:28 |     ACTIV |        AC |  0.25 |   7292 | C++ |
| 6673638 | 2012-03-17 17:07:16 |    ABA12E |        AC |  0.03 |   3272 | C++ |
| 6673619 | 2012-03-17 17:02:22 |    ABA12E |        WA |  0.22 |   3272 | C++ |
| 6673615 | 2012-03-17 17:01:17 |    ABA12E |        WA |  0.22 |   3272 | C++ |
| 6673268 | 2012-03-17 16:01:21 |    ABA12D |        AC |  0.00 |   4776 | C++ |
| 6672906 | 2012-03-17 15:01:25 |    ABA12C |        AC |  0.00 |   2728 | C++ |
| 6666395 | 2012-03-16 16:11:56 |       MBR |        AC |  0.00 |   7696 | PYT |
| 6665648 | 2012-03-16 14:22:39 |       MBR |        WA |  0.05 |   3740 | PYT |
| 6665644 | 2012-03-16 14:22:13 |       MBR |        WA |  0.03 |   3736 | PYT |
| 6665641 | 2012-03-16 14:22:00 |       MBR |        CE |  0.00 |      0 | C++ |
| 6663215 | 2012-03-16 03:22:33 |      LIS2 |        WA |  0.73 |   8208 | C++ |
| 6663210 | 2012-03-16 03:20:48 |      LIS2 |        CE |  0.00 |      0 | C++ |
| 6660545 | 2012-03-15 16:17:31 |      LIS2 |        WA |  0.75 |   8208 | C++ |
| 6659390 | 2012-03-15 13:16:46 |      LIS2 |        WA |  0.71 |   8208 | C++ |
| 6659222 | 2012-03-15 12:51:34 |      LIS2 |        WA |  0.78 |   9000 | C++ |
| 6659191 | 2012-03-15 12:46:23 |      LIS2 |        WA |  0.72 |   8208 | C++ |
| 6659181 | 2012-03-15 12:43:39 |      LIS2 |       TLE | -1.00 |   5168 | C++ |
